Symbol,Name,InstrumentToken,ISIN
ADROITINFO,ADROIT INFOTECH,1267969,INE737B01033
ADSL,ALLIED DIGITAL SERV.,3792129,INE102I01027
ADVAIT,ADVAIT ENRGY TRANSITION L,194728193,INE0ALI01010
ADVANCE,ADVANCE AGROLIFE,194406913,INE1B0W01010
ADVANIHOTR,ADVANI HOT.& RES.(I),3774721,INE199C01026
ADVENTHTL,ADVENT HOTELS INTERNATI L,194500865,INE28GN01010
ADVENZYMES,ADVANCED ENZYME TECH,4617985,INE837H01020
AEGISLOG,AEGIS LOGISTICS,10241,INE208C01025
AEGISVOPAK,AEGIS VOPAK TERMINALS,193878017,INE0INX01018
AEPL,ARTEMIS ELECTRICALS & P L,194900481,INE757T01025
AEQUS,AEQUS,194619905,INE947N01017
AEROENTER,AEROFLEX ENTERPRISES,3075841,INE065D01027
AEROFLEX,AEROFLEX INDUSTRIES,4676609,INE024001021
AERONEU,AEROFLEX NEU,3504385,INE035801013
AETHER,AETHER INDUSTRIES,2511361,INE0BWX01014
AFCONS,AFCONS INFRASTRUCTURE,6650113,INE101I01011
AFFLE,AFFLE 3I,2903809,INE00WC01027
AFSL,ABANS FINANCIAL SRVCS,3401729,INE00ZE01026
AGARIND,AGARWAL INDS CORP,867585,INE204E01012
AGARWALEYE,DR AGARWALS HEALTH CARE L,7539713,INE943P01029
AGI,AGI GREENPAC,361473,INE415A01038
AGIIL,AGI INFRA,6257921,INE976R01033
AGROPHOS,AGRO PHOS INDIA,2315777,INE740V01019
AHCL,ANLON HEALTHCARE,194295809,INE0Y8W01025
AHLADA,AHLADA ENGINEERS,513025,INE00PV01013
AHLEAST,ASIAN HOTELS (EAST),4976129,INE926K01017
AHLUCONT,AHLUWALIA CONT IND,4565249,INE758C01029
AIAENG,AIA ENGINEERING,3350017,INE212H01026
AIIL,AUTHUM INVEST & INFRA,6029569,INE206F01022
AIRAN,AIRAN,2533633,INE645W01026
AIROLAM,AIRO LAM,1553409,INE801L01010
AJANTPHARM,AJANTA PHARMA,2079745,INE031B01049
AJAXENGG,AJAX ENGINEERING,7583745,INE274Y01021
AJMERA,AJMERA REALTY & INF I,4430593,INE298G01035
AJOONI,AJOONI BIOTECH,871169,INE820Y01021
AKASH,AKASH INFRA-PROJECTS,3458561,INE737W01013
AKCAPIT,A K CAPITAL SERVICES,195209729,INE701G01012
AKG,AKG EXIM,557057,INE00Y801016
AKI,AKI INDIA,3811841,INE642Z01026
AKSHAR,AKSHAR SPINTEX,2446849,INE256Z01025
AKSHARCHEM,AKSHARCHEM INDIA,5165569,INE542B01011
AKUMS,AKUMS DRUGS AND PHARMA L,6327041,INE09XN01023
ALANKIT,ALANKIT,2539777,INE914E01040
ALBERTDAVD,ALBERT DAVID,4417537,INE155C01010
ALEMBICLTD,ALEMBIC,20225,INE426A01027
ALGOQUANT,ALGOQUANT FINTECH,194885121,INE598D01035
ALICON,ALICON CASTALLOY,3495937,INE062D01024
ALIVUS,ALIVUS LIFE SCIENCES,1347841,INE03Q201024
ALKEM,ALKEM LABORATORIES,2995969,INE540L01014
ALKYLAMINE,ALKYL AMINES CHEM.,1148673,INE150B01039
ALLCARGO,ALLCARGO LOGISTICS,3456257,INE418H01029
ALLDIGI,ALLDIGI TECH,3020289,INE835G01018
ALLTIME,ALL TIME PLASTICS,194162689,INE0GV601021
ALMONDZ,ALMONDZ GLOBAL SEC,4280065,INE326B01035
ALOKINDS,ALOK INDUSTRIES,4524801,INE270A01029
ALPA,ALPA LABORATORIES,3801089,INE385I01010
ALPHA,KOTAK NIFTY ALPHA 50 ETF,1897473,INF174KA1IA5
ALPHAETF,MIRAE ASSET NIFTY 200 ALPHA 30 ETF,5027841,INF769K01KU7
ALPHAGEO,ALPHAGEO (INDIA),3736833,INE137C01018
ALPHAINAV,MIRAEAMC - ALPHAINAV,5029121,
ALPL30IETF,ICICIPRAMC - ICICIALPLV,5720065,INF109KC17V7
AMAGI,AMAGI MEDIA LABS,194749441,INE121R01077
AMBALALSA,AMBALAL SARABHAI ENT L,195211009,INE432A01017
AMBER,AMBER ENTERPRISES (I),303361,INE371P01015
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,2942977,INE792B01012
AMBIKCO,AMBIKA COTTON MILL,3899905,INE540G01014
AMBUJACEM,AMBUJA CEMENTS,325121,INE079A01024
AMDIND,AMD INDUSTRIES,3685889,INE005I01014
AMIRCHAND,AMIR CHAND JAG KUM (E) L,194987521,INE05TO01019
AMJLAND,AMJ LAND HOLDINGS,665089,INE606A01024
AMNPLST,AMINES & PLASTICIZERS,5085953,INE275D01022
AMRUTANJAN,AMRUTAJAN HEALTH,4492033,INE098F01031
ANANDRATHI,ANAND RATHI WEALTH,1829121,INE463V01026
ANANTRAJ,ANANT RAJ,3486721,INE242C01024
ANDHRAPAP,ANDHRA PAPER,42497,INE435A01051
ANDHRSUGAR,ANDHRA SUGARS,34817,INE715B01021
ANGELONE,ANGEL ONE,82945,INE732I01021
ANMOL,ANMOL INDIA,954113,INE02AR01019
ANTELOPUS,ANTELOPUS SELAN ENRGY,3481089,INE818A01017
ANTGRAPHIC,ANTARCTICA,1329665,INE414B01021
ANTHEM,ANTHEM BIOSCIENCES,194018561,INE0CZ201020
ANUHPHR,ANUH PHARMA,7248385,INE489G01022
ANUP,THE ANUP ENGINEERING,2307585,INE294Z01018
ANURAS,ANUPAM RASAYAN INDIA,724225,INE930P01018
AOGOLDINAV,AONEAMC - AOGOLDINAV,7819009,
AONE50INAV,AONEAMC - AONE50INAV,7827713,
AONEGOLD,ANGEL ONE GOLD ETF,194279425,INF1J2R01114
AONELIINAV,AONEAMC - AONELIINAV,7801857,
AONELIQUID,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,7800833,INF1J2R01056
AONENFINAV,AONEAMC - AONENFINAV,7809537,
AONENIFTY,ANGEL ONE NIFTY 50 ETF,193816577,INF1J2R01064
AONESIINAV,AONEAMC - AONESIINAV,7835137,
AONESILVER,AONEAMC - AONESILVER,194609409,INF1J2R01171
AONETMMQ50,AONEAMC - AONETMMQ50,194557953,INF1J2R01148
AONETOINAV,AONEAMC - AONETOINAV,7674369,
AONETOTAL,ANGEL ONE NIFTY TOTAL MARKET ETF,7673601,INF1J2R01015
APARINDS,APAR INDUSTRIES,2941697,INE372A01015
APCL,ANJANI PORTLAND CEM,5235969,INE071F01012
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,39425,INE116A01032
APEX,APEX FROZEN FOODS,5535489,INE346W01013
APLAPOLLO,APL APOLLO TUBES,6599681,INE702C01027
APLLTD,ALEMBIC PHARMA,6483969,INE901L01018
APOLLO,APOLLO MICRO SYSTEMS,290305,INE713T01028
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,40193,INE437A01024
APOLLOPIPE,APOLLO PIPES,3676417,INE126J01016
APOLLOTYRE,APOLLO TYRES,41729,INE438A01022
APOLSINHOT,APOLLO SINDOORI HOTEL,1613313,INE451F01024
APTUS,APTUS VALUE HSG FIN I,1391361,INE852O01025
AQYLON,AQYLON NEXUS,5981441,INE416A01051
ARCHIDPLY,ARCHIDPLY IND.,4299521,INE877I01016
ARCHIES,ARCHIES,1456129,INE731A01020
ARE&M,AMARA RAJA ENERGY MOB,25601,INE885A01032
ARENTERP,RAJDARSHAN INDUSTRIES,46337,INE610C01014
ARFIN,ARFIN INDIA,194227201,INE784R01023
ARIES,ARIES AGRO,3892225,INE298I01015
ARIHANT,ARIHANT FOUN & HOU,3554561,INE413D01011
ARIHANTCAP,ARIHANT CAPITAL MKTS,976129,INE420B01036
ARIHANTSUP,ARIHANT SUPERSTRUCT,5160705,INE643K01018
ARIS,ARISINFRA SOLUTIONS,193949185,INE0H9P01028
ARKADE,ARKADE DEVELOPERS,6501889,INE0QRL01017
ARMANFIN,ARMAN FIN SERV,4419329,INE109C01017
AROGRANITE,ARO GRANITE IND.,3726593,INE210C01013
ARSSBL,ANAND RATHI SH N STK BR L,194548737,INE549H01021
ARTEMISMED,ARTEMIS MED SERVICE,4329729,INE025R01021
ARTNIRMAN,ART NIRMAN,1575937,INE738V01013
ARVEE,ARVEE LABORATORIES I,720385,INE006Z01016
ARVIND,ARVIND,49409,INE034A01011
ARVINDFASN,ARVIND FASHIONS,2332417,INE955V01021
ARVSMART,ARVIND SMARTSPACES,2676993,INE034S01021
ASAHIINDIA,ASAHI INDIA GLASS,1376769,INE439A01020
ASAHISONG,ASAHI SONGWON COLOR,6422529,INE228I01012
ASAL,AUTOMOTIVE STAMPINGS & AS,2722305,INE900C01027
ASALCBR,ASSO ALCOHOLS & BREW,4505089,INE073G01016
ASHAPURMIN,ASHAPURA MINECHEM,51969,INE348A01023
ASHIANA,ASHIANA HOUSING,6247169,INE365D01021
ASHIKA,ASHIKA CREDIT CAPITAL L,195212289,INE094B01013
ASHIMASYN,ASHIMA,52737,INE440A01010
ASHOKA,ASHOKA BUILDCON,5166593,INE442H01029
ASHOKAMET,ASHOKA METCAST,4337409,INE760Y01011
ASHOKLEY,ASHOK LEYLAND,54273,INE208A01029
ASIANENE,ASIAN ENERGY SERVICES,1799681,INE276G01015
ASIANHOTNR,ASIAN HOTELS (NORTH),4716033,INE363A01022
ASIANPAINT,ASIAN PAINTS,60417,INE021A01026
ASIANTILES,ASIAN GRANITO IND.,3811585,INE022I01019
ASKAUTOLTD,ASK AUTOMOTIVE,5158913,INE491J01022
ASPINWALL,ASPINWALL & CO,4421121,INE991I01015
ASTAR,ASIAN STAR CO.,195213569,INE194D01017
ASTEC,ASTEC LIFESCIENCES,4538369,INE563J01010
ASTERDM,ASTER DM HEALTHCARE,386049,INE914M01019
ASTRAL,ASTRAL,3691009,INE006I01046
ASTRAMICRO,ASTRA MICROWAVE,2974209,INE386C01029
ASTRAZEN,ASTRAZENECA PHARMA IND LT,1436161,INE203A01020
ATALREAL,ATAL REALTECH,4006145,INE0ALR01029
ATAM,ATAM VALVES,3943425,INE09KD01013
ATGL,ADANI TOTAL GAS,1552897,INE399L01023
ATHERENERG,ATHER ENERGY,193957121,INE0LEZ01016
ATL,ALLCARGO TERMINALS,4551169,INE0NN701020
ATLANTAA,ATLANTAA,3477761,INE285H01022
ATLANTAELE,ATLANTA ELECTRICALS,194305793,INE0Z4F01028
ATLASCYCLE,ATLAS CYCLE (HARYANA),1169409,INE446A01025
ATUL,ATUL,67329,INE100A01010
ATULAUTO,ATUL AUTO,7685889,INE951D01028
AUBANK,AU SMALL FINANCE BANK,5436929,INE949L01017
AURIGROW,AURI GROW INDIA,411393,INE925Y01036
AURIONPRO,AURIONPRO SOLN,3077633,INE132H01018
AUROPHARMA,AUROBINDO PHARMA,70401,INE406A01037
AURUM,AURUM PROPTECH,2639361,INE898S01029
AUTOAXLES,AUTOMOTIVE AXLES,71169,INE449A01011
AUTOBEES,NIPPON INDIA NIFTY AUTO ETF,2017281,INF204KC1337
AUTOBEINAV,AUTOBEES INAV,2598401,
AUTOIETF,ICICI PRUDENTIAL NIFTY AUTO ETF,2008065,INF109KC10V2
AVALON,AVALON TECHNOLOGIES,3854849,INE0LCL01028
AVANTEL,AVANTEL,6300161,INE005B01027
AVANTIFEED,AVANTI FEEDS,2031617,INE871C01038
AVG,AVG LOGISTICS,3990785,INE680Z01018
AVL,ADITYA VISION,6651905,INE679V01027
AVONMORE,AVONMORE CAP&MGT SERV,3470593,INE323B01024
AVROIND,AVRO INDIA,2259713,INE652Z01025
AVTNPL,AVT NATURAL PRODUCTS,3586049,INE488D01021
AWFIS,AWFIS SPACE SOLUTIONS,6109185,INE108V01019
AWHCL,ANTONY WASTE HDG CELL,460033,INE01BK01022
AWL,AWL AGRI BUSINESS,2076161,INE699H01024
AXISBANK,AXIS BANK,1510401,INE238A01034
AXISBNINAV,AXISBNKETF INAV,2556673,
AXISBNKETF,AXIS NIFTY BANK ETF,267265,INF846K01X63
AXISBPINAV,AXISBPSETF INAV,2556417,
AXISCADES,AXISCADES TECH,2415617,INE555B01013
AXISCEINAV,AXISCETF INAV,2556929,
AXISCETF,AXIS NIFTY INDIA CONSUMPTION ETF,1467393,INF846K016C7
AXISGOINAV,AXISGOLD NAV,2109185,
AXISGOLD,AXIS GOLD ETF,5256193,INF846K01W80
AXISHCETF,AXIS NIFTY HEALTHCARE ETF,923649,INF846K01Z12
AXISHCINAV,AXISHCETF INAV,2553345,
AXISILINAV,AXISAMC - AXISILINAV,2868737,
AXISILVER,AXIS SILVER ETF,2865409,INF846K011K1
AXISNIFTY,AXIS NIFTY 50 ETF,5440513,INF846K01W98
AXISNIINAV,AXISNIFTY INAV,2557185,
AXISTECETF,AXIS NIFTY IT ETF,770561,INF846K01Y96
AXISTEINAV,AXISTECETF INAV,2558977,
AXISVAINAV,AXISAMC - AXISVAINAV,7720449,
AXISVALUE,AXIS NIFTY500 VALUE 50 ETF,7719681,INF846KA1119
AXITA,AXITA COTTON,2534913,INE02EZ01022
AXSENSEX,AXIS BSE SENSEX ETF,3773953,INF846K010Q0
AXSNSXINAV,AXISAMC - AXSNSXINAV,3774977,
AYE,AYE FINANCE,194811137,INE501X01029
AYMSYNTEX,AYM SYNTEX,2632961,INE193B01039
AZAD,AZAD ENGINEERING,5351681,INE02IJ01035
BAGFILMS,B.A.G FILMS AND MEDIA,2873857,INE116D01028
BAIDFIN,BAID FINSERV,3531265,INE020D01022
BAJAJ-AUTO,BAJAJ AUTO,4267265,INE917I01010
BAJAJCON,BAJAJ CONSUMER CARE,4999937,INE933K01021
BAJAJELEC,BAJAJ ELECT.LTD,3848705,INE193E01025
BAJAJFINSV,BAJAJ FINSERV,4268801,INE918I01026
BAJAJHCARE,BAJAJ HEALTHCARE,1756929,INE411U01027
BAJAJHFL,BAJAJ HOUSING FINANCE,6469121,INE377Y01014
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,78849,INE306A01021
BAJAJHLDNG,BAJAJ HOLDINGS & INVS,78081,INE118A01012
BAJAJINDEF,INDEF MANUFACTURING,7597569,INE0O9T01021
BAJAJST,BAJAJ STEEL INDS.,195216129,INE704G01024
BAJEL,BAJEL PROJECTS,5255937,INE0KQN01018
BAJFINANCE,BAJAJ FINANCE,81153,INE296A01032
BALAJEE,SHREE TIRUPATI BALAJEE L,6451969,INE0S2G01011
BALAJITELE,BALAJI TELEFILMS,2344449,INE794B01026
BALAMINES,BALAJI AMINES,3712257,INE050E01027
BALKRISHNA,BALKRISHNA PAPER MILLS L,2606337,INE875R01011
BALKRISIND,BALKRISHNA IND.,85761,INE787D01026
BALMLAWRIE,BALMER LAWRIE & CO,86529,INE164A01016
BALPHARMA,BAL PHARMA,3440897,INE083D01012
BALRAMCHIN,BALRAMPUR CHINI MILLS,87297,INE119A01028
BALUFORGE,BALU FORGE INDUSTRIES,6043393,INE011E01029
BANARBEADS,BANARAS BEADS,88833,INE655B01011
BANARISUG,BANNARI AMMAN SUGARS,89601,INE459A01010
BANCOINDIA,BANCO PRODUCTS (I),3553281,INE213C01025
BANDHANBNK,BANDHAN BANK,579329,INE545U01014
BANG,BANG OVERSEAS,3917569,INE863I01016
BANK10ADD,DSPAMC - BANK10ADD,194909185,INF740KA1YH2
BANKADD,DSP NIFTY BANK ETF,3492865,INF740KA1RX3
BANKBARODA,BANK OF BARODA,1195009,INE028A01039
BANKBEES,NIPPON INDIA ETF BANK BEES,2928385,INF204KB15I9
BANKBETA,UTI NIFTY BANK ETF,5744641,INF789F1AUV1
BANKBETF,BAJAJ FINSERV NIFTY BANK ETF,5628417,INF0QA701714
BANKBINAV,BFAM - BANKBETF,5629185,
BANKETF,MIRAE ASSET NIFTY BANK ETF,4459265,INF769K01KR3
BANKIETF,ICICI PRUDENTIAL NIFTY BANK ETF,2825473,INF109KC15I8
BANKINDIA,BANK OF INDIA,1214721,INE084A01016
BANKNIFTY1,KOTAK NIFTY BANK ETF,1497857,INF174KA1ZB7
BANKPSU,MIRAE ASSET NIFTY PSU BANK ETF,6585601,INF769K01LZ4
BANSALWIRE,BANSAL WIRE INDUSTRIES L,6242817,INE0B9K01025
BANSWRAS,BANSWARA SYNTEX,3714817,INE629D01020
BASF,BASF INDIA,94209,INE373A01013
BASML,BANNARI AM SPIN MILL,3080705,INE186H01022
BATAINDIA,BATA INDIA,94977,INE176A01028
BATLIBOI,BATLIBOI,195217409,INE177C01022
BAYERCROP,BAYER CROPSCIENCE,4589313,INE462A01022
BBETF0432,BHARAT BOND ETF - APRIL 2032,1842177,INF754K01OB1
BBETF0INAV,BBETF0432 INAV,2565377,
BBL,BHARAT BIJLEE,3522817,INE464A01036
BBNPNBETF,BARODA BNP PARIBAS NIFTY BANK ETF,6173953,INF251K01TL6
BBNPNBINAV,BARODABNP - BBNPNBINAV,6175233,
BBNPPGOLD,BARODA BNP PARIBAS GOLD ETF,5260033,INF251K01SU9
BBOX,BLACK BOX,879361,INE676A01027
BBTC,BOMBAY BURMAH TRADING COR,97281,INE050A01025
BBTCL,B&B TRIPLEWALL CONT,3111169,INE01EE01011
BCG,BRIGHTCOM GROUP,2261249,INE425B01027
BCLIND,BCL INDUSTRIES,643329,INE412G01024
BCONCEPTS,BRAND CONCEPTS,1991681,INE977Y01011
BCPL,BCPL RAILWAY INFRA,194942465,INE00SW01015
BDL,BHARAT DYNAMICS,548865,INE171Z01026
BEARDSELL,BEARDSELL,4590849,INE520H01022
BECTORFOOD,MRS BECTORS FOOD SPE,416769,INE495P01020
BEDMUTHA,BEDMUTHA INDUST,5170177,INE844K01012
BEEKAY,BEEKAY STEEL INDS.,195218689,INE213D01015
BEL,BHARAT ELECTRONICS,98049,INE263A01024
BELLACASA,BELLA CASA FASH AND RET L,194032129,INE344T01014
BELRISE,BELRISE INDUSTRIES,193818113,INE894V01022
BEML,BEML,101121,INE258A01024
BENGALASM,BENGAL & ASSAM CO.,195219969,INE083K01017
BEPL,BHANSALI ENG. POLYMERS LT,107265,INE922A01025
BERGEPAINT,BERGER PAINTS (I),103425,INE463A01038
BESTAGRO,BEST AGROLIFE,590337,INE052T01021
BETA,BETA DRUGS,194519553,INE351Y01019
BFINVEST,BF INVESTMENT,5404929,INE878K01010
BFSI,MIRAE ASSET NIFTY FINANCIAL SERVICES ETF,1336321,INF769K01HI8
BFUTILITIE,BF UTILITIES,3729153,INE243D01012
BHAGCHEM,BHAGIRADHA CHEM & INDS L,1577985,INE414D01027
BHARATCOAL,BHARAT COKING COAL,194745857,INE05XR01022
BHARATFORG,BHARAT FORGE,108033,INE465A01025
BHARATGEAR,BHARAT GEARS,109057,INE561C01019
BHARATRAS,BHARAT RASAYAN,981505,INE838B01021
BHARATSE,BHARAT SEATS,7742465,INE415D01024
BHARATWIRE,BHARAT WIRE ROPES,4127489,INE316L01019
BHARTIARTL,BHARTI AIRTEL,2714625,INE397D01024
BHARTIHEXA,BHARTI HEXACOM,6013185,INE343G01021
BHEL,BHEL,112129,INE257A01026
BI,BILCARE,195221249,INE986A01012
BIGBLOC,BIGBLOC CONSTRUCTION,4718337,INE412U01025
BIKAJI,BIKAJI FOODS INTERN,3063297,INE00E101023
BIL,BHARTIYA INTERNATIONAL,2009089,INE828A01016
BIMETAL,BIMETAL BEARINGS,195222529,INE469A01019
BIOCON,BIOCON,2911489,INE376G01013
BIOFILCHEM,BIOFIL CHEM & PHARMA,1058817,INE829A01014
BIRLACORPN,BIRLA CORPORATION,122881,INE340A01012
BIRLAMONEY,ADITYA BIRLA MONEY,3901185,INE865C01022
BIRLANU,BIRLANU,372481,INE557A01011
BIRLAPREC,BIRLA PRECISION TECH L,195223809,INE372E01025
BLACKBUCK,BLACKBUCK,6948865,INE0UIZ01018
BLACKROSE,BLACK ROSE INDS.,195225089,INE761G01016
BLAL,BEML LAND ASSETS,3857153,INE0N7W01012
BLBLIMITED,BLB,2081793,INE791A01024
BLIL,BALMER LAWRIE INVSTS. L,195226369,INE525F01025
BLISSGVS,BLISS GVS PHARMA,4931841,INE416D01022
BLKASHYAP,B.L.KASHYAP & SON,3402241,INE350H01032
BLS,BLS INTL SERVS,4423425,INE153T01027
BLSE,BLS E-SERVICES,5776897,INE0NLT01010
BLUEDART,BLUE DART EXPRESS,126721,INE233B01017
BLUEJET,BLUE JET HEALTHCARE,5039617,INE0KBH01020
BLUESTARCO,BLUE STAR,2127617,INE472A01039
BLUESTONE,BLUESTONE JEWEL LFSTL,194378497,INE304W01038
BLUSPRING,BLUSPRING ENTERPRISES,193925121,INE0U4101014
BMWVENTLTD,BMW VENTURES,194369537,INE965W01036
BNALTD,B & A,195228929,INE489D01011
BNGOLDINAV,BARODABNP - BNGOLDINAV,5260801,
BNK10DINAV,DSPAMC - BNK10DINAV,7836161,
BNKETFINAV,MIRAEAMC - BNKETFINAV,4461057,
BNKPSUINAV,MIRAEAMC - BNKPSUINAV,6587393,
BOHRAIND,BOHRA INDUSTRIES,2979841,INE802W01023
BOMDYEING,BOMBAY DYEING & MFG. CO L,131329,INE032A01023
BONLON,BONLON INDUSTRIES,194830337,INE0B9A01018
BORANA,BORANA WEAVES,194027265,INE16SF01016
BOROLTD,BOROSIL,4966657,INE02PY01013
BORORENEW,BOROSIL RENEWABLES,806145,INE666D01022
BOROSCI,BOROSIL SCIENTIFIC,6147585,INE02L001032
BOSCH-HCIL,BOSCH HOME COMFRT IND,1149697,INE782A01015
BOSCHLTD,BOSCH,558337,INE323A01026
BPCL,BHARAT PETROLEUM CORP  LT,134657,INE029A01011
BPL,BPL,135681,INE110A01019
BRIGADE,BRIGADE ENTER.,3887105,INE791I01019
BRIGHOTEL,BRIGADE HOTEL VENTURE,193995265,INE03NU01014
BRITANNIA,BRITANNIA INDUSTRIES,140033,INE216A01030
BRNL,BHARAT ROAD NETWORK,5550849,INE727S01012
BSE,BSE,5013761,INE118H01025
BSE500IETF,ICICI PRUDENTIAL BSE 500 ETF,768257,INF109KC1V59
BSL,BSL,143105,INE594B01012
BSLGOLDETF,BIRLA SUN LIFE GOLD ETF,6093825,INF209KB18D3
BSLGOLINAV,BSLGOLDETF NAV,2109441,
BSLNIFINAV,BSLNIFTY INAV,2552833,
BSLNIFTY,ADITYA BIRLA SUN LIFE NIFTY 50 ETF,6343937,INF209KB19D1
BSLSENETFG,ADITYA BIRLA SUN LIFE BSE SENSEX ETF,1524993,INF209KB10E8
BSLSENINAV,BSLSENETFG INAV,2552577,
BSOFT,BIRLASOFT,1790465,INE836A01035
BTML,BODHI TREE MULTIMEDIA,3622401,INE0EEJ01023
BTTL,BHILWARA TECHNICAL TEXT L,195230209,INE274K01012
BUILDPRO,SHANKARA BUILDPRO,194712065,INE24OJ01011
BUTTERFLY,BTRFLY GANDHI APPL,695297,INE295F01017
BVCL,BARAK VALLEY CEM.,3858689,INE139I01011
CAMLINFINE,CAMLIN FINE SCIENCES,1591297,INE052I01032
CAMPUS,CAMPUS ACTIVEWEAR,2396673,INE278Y01022
CAMS,COMPUTER AGE MNGT SER,87553,INE596I01020
CANBK,CANARA BANK,2763265,INE476A01022
CANFINHOME,CAN FIN HOMES,149249,INE477A01020
CANHLIFE,CANARA HSBC LIFE INS CO L,194426113,INE01TY01017
CANTABIL,CANTABIL RETAIL,5160961,INE068L01024
CAPACITE,CAPACITE INFRAPROJECT,5567745,INE264T01014
CAPILLARY,CAPILLARY TECHNO INDIA L,194525953,INE0ILV01024
CAPITALSFB,CAPITAL SMALL FIN BANK L,5804801,INE646H01017
